num,rate,name,price,diff,updown,buy_hoga,sell_hoga,volume,yes_volume
1.0,3769.91,인디에프,2295.0,310.0,+15.62%,2275.0,2280.0,7182902.0,185609.0
2.0,3714.21,유나이티드제약,30200.0,1700.0,+5.96%,29800.0,29850.0,2922600.0,76624.0
3.0,1026.86,TIGER 농산물선물Enhanced(H),4925.0,40.0,+0.82%,4925.0,4930.0,72401.0,6425.0
4.0,1014.63,한국내화,5800.0,950.0,+19.59%,5680.0,5690.0,10315866.0,925500.0
5.0,840.82,대덕전자,8650.0,600.0,+7.45%,8510.0,8540.0,996038.0,105869.0
6.0,679.43,아모레퍼시픽,226500.0,38000.0,-14.37%,226500.0,227000.0,919385.0,117956.0
7.0,607.48,아모레G,79000.0,13500.0,-14.59%,79000.0,79200.0,540572.0,76408.0
8.0,546.79,콤텍시스템,1610.0,80.0,+5.23%,1610.0,1620.0,6646821.0,1027667.0
9.0,529.93,신원우,74000.0,5900.0,+8.66%,74000.0,75000.0,32164.0,5106.0
10.0,527.41,신원,2550.0,145.0,+6.03%,2560.0,2565.0,8049318.0,1282941.0
11.0,520.05,한국특수형강,4095.0,405.0,-9.00%,4140.0,4150.0,2116980.0,341422.0
12.0,511.82,대덕GDS,13350.0,900.0,+7.23%,13150.0,13200.0,600775.0,98195.0
13.0,467.29,서연이화,5200.0,540.0,-9.41%,5200.0,5210.0,329445.0,58073.0
14.0,437.62,KODEX 콩선물(H),8610.0,45.0,+0.53%,8605.0,8620.0,64138.0,11930.0
15.0,409.89,DB금융투자,4105.0,110.0,-2.61%,4110.0,4120.0,91928.0,18029.0
16.0,399.45,KODEX KRX300,13665.0,215.0,-1.55%,13650.0,13665.0,518579.0,103829.0
17.0,397.47,혜인,7330.0,370.0,+5.32%,7430.0,7440.0,2196500.0,441538.0
18.0,385.14,HANARO KRX300,13595.0,160.0,-1.16%,13570.0,13580.0,106643.0,21982.0
19.0,372.66,TIGER 화장품,4140.0,310.0,-6.97%,4125.0,4130.0,371171.0,78528.0
20.0,361.81,삼성출판사,13100.0,450.0,-3.32%,13100.0,13150.0,831122.0,179969.0
21.0,359.4,대현,2560.0,5.0,-0.19%,2520.0,2525.0,306514.0,66720.0
22.0,357.42,해태제과식품,11550.0,450.0,-3.75%,11500.0,11650.0,38826.0,8488.0
23.0,345.54,KODEX 삼성그룹,7050.0,70.0,-0.98%,7035.0,7040.0,208960.0,46900.0
24.0,312.42,한미글로벌,11550.0,500.0,+4.52%,11450.0,11500.0,849641.0,206016.0
25.0,312.19,대림B&Co,5110.0,120.0,-2.29%,5080.0,5090.0,42439.0,10296.0
